seq_lab	seq_run	sample_id	biosample_id	t_fctr	pcr_16S_plate	pos
jhu	1	jhu_run1_1-A1	E01JH0004	20	1	A1
jhu	1	jhu_run1_1-A10	E01JH0017	20	1	A10
jhu	1	jhu_run1_1-A11	E01JH0038	20	1	A11
jhu	1	jhu_run1_1-A12	NTC	NA	1	A12
jhu	1	jhu_run1_1-A2	E01JH0011	20	1	A2
jhu	1	jhu_run1_1-A3	E01JH0016	20	1	A3
jhu	1	jhu_run1_1-A4	E01JH0017	20	1	A4
jhu	1	jhu_run1_1-A5	E01JH0038	20	1	A5
jhu	1	jhu_run1_1-A6	NTC	NA	1	A6
jhu	1	jhu_run1_1-A7	E01JH0004	20	1	A7
jhu	1	jhu_run1_1-A8	E01JH0011	20	1	A8
jhu	1	jhu_run1_1-A9	E01JH0016	20	1	A9
jhu	1	jhu_run1_1-B1	E01JH0004	1	1	B1
jhu	1	jhu_run1_1-B10	E01JH0017	1	1	B10
jhu	1	jhu_run1_1-B11	E01JH0038	1	1	B11
jhu	1	jhu_run1_1-B12	E01JH0011	0	1	B12
jhu	1	jhu_run1_1-B2	E01JH0011	1	1	B2
jhu	1	jhu_run1_1-B3	E01JH0016	1	1	B3
jhu	1	jhu_run1_1-B4	E01JH0017	1	1	B4
jhu	1	jhu_run1_1-B5	E01JH0038	1	1	B5
jhu	1	jhu_run1_1-B6	E01JH0011	0	1	B6
jhu	1	jhu_run1_1-B7	E01JH0004	1	1	B7
jhu	1	jhu_run1_1-B8	E01JH0011	1	1	B8
jhu	1	jhu_run1_1-B9	E01JH0016	1	1	B9
jhu	1	jhu_run1_1-C1	E01JH0004	2	1	C1
jhu	1	jhu_run1_1-C10	E01JH0017	2	1	C10
jhu	1	jhu_run1_1-C11	E01JH0038	2	1	C11
jhu	1	jhu_run1_1-C12	E01JH0016	0	1	C12
jhu	1	jhu_run1_1-C2	E01JH0011	2	1	C2
jhu	1	jhu_run1_1-C3	E01JH0016	2	1	C3
jhu	1	jhu_run1_1-C4	E01JH0017	2	1	C4
jhu	1	jhu_run1_1-C5	E01JH0038	2	1	C5
jhu	1	jhu_run1_1-C6	E01JH0016	0	1	C6
jhu	1	jhu_run1_1-C7	E01JH0004	2	1	C7
jhu	1	jhu_run1_1-C8	E01JH0011	2	1	C8
jhu	1	jhu_run1_1-C9	E01JH0016	2	1	C9
jhu	1	jhu_run1_1-D1	E01JH0004	3	1	D1
jhu	1	jhu_run1_1-D10	E01JH0017	3	1	D10
jhu	1	jhu_run1_1-D11	E01JH0038	3	1	D11
jhu	1	jhu_run1_1-D12	NTC	NA	1	D12
jhu	1	jhu_run1_1-D2	E01JH0011	3	1	D2
jhu	1	jhu_run1_1-D3	E01JH0016	3	1	D3
jhu	1	jhu_run1_1-D4	E01JH0017	3	1	D4
jhu	1	jhu_run1_1-D5	E01JH0038	3	1	D5
jhu	1	jhu_run1_1-D6	NTC	NA	1	D6
jhu	1	jhu_run1_1-D7	E01JH0004	3	1	D7
jhu	1	jhu_run1_1-D8	E01JH0011	3	1	D8
jhu	1	jhu_run1_1-D9	E01JH0016	3	1	D9
jhu	1	jhu_run1_1-E1	E01JH0004	4	1	E1
jhu	1	jhu_run1_1-E10	E01JH0017	4	1	E10
jhu	1	jhu_run1_1-E11	E01JH0038	4	1	E11
jhu	1	jhu_run1_1-E12	E01JH0017	0	1	E12
jhu	1	jhu_run1_1-E2	E01JH0011	4	1	E2
jhu	1	jhu_run1_1-E3	E01JH0016	4	1	E3
jhu	1	jhu_run1_1-E4	E01JH0017	4	1	E4
jhu	1	jhu_run1_1-E5	E01JH0038	4	1	E5
jhu	1	jhu_run1_1-E6	E01JH0017	0	1	E6
jhu	1	jhu_run1_1-E7	E01JH0004	4	1	E7
jhu	1	jhu_run1_1-E8	E01JH0011	4	1	E8
